"hmrc_code","measure","code_description"
"854089000","KG","Electronic valves and tubes (excl. receiver or amplifier valves and tubes, microwave tubes, photo-cathode tubes, cathode ray tubes, black and white or other monochrome data-graphic display tubes and colour data-graphic display tubes with a phosphor dot sc"
"854411100","KG","Winding wire for electrical purposes, of copper, lacquered or enamelled"
"854511000","KG","Electrodes of graphite or other carbon, for electric furnaces"
"854720000","KG","Insulating fittings for electrical purposes, of plastics"
"860290000","KG","Rail locomotives (excl. those powered from an external source of electricity or by accumulators and diesel-electric locomotives)"
"870110000","KG","Pedestrian-controlled agricultural tractors and similar tractors for industry (excl. tractor units for articulated lorries)"
"870321900","KG","Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars, with spark-ignition internal combustion reciprocating piston engine of a cylinder capacity <= 1.000 cm│, used (excl. vehicles for "
"870421390","KG","Motor vehicles for the transport of goods, with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of a gross vehicle weight <= 5 t, of a cylinder capacity > 2.500 cm│, used (excl. dumpers for off-highway use of subheadi"
"870510000","KG","Crane lorries (excl. breakdown lorries)"
"870840500","KG","Gear boxes for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles (excl. th"
"870880910","KG","Suspension systems and parts thereof, of closed-die forged steel, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transpor"
"871120100","KG","Scooters of cylinder capacity > 50 cm│ but <= 250 cm│"
"871631000","KG","Tanker trailers and tanker semi-trailers, not designed for running on rails"
"871690900","KG","Parts of trailers, semi-trailers and other vehicles not mechanically propelled, n.e.s. (excl. chassis, bodies and axles)"
"890110900","KG","Cruise ships, excursion boats and similar vessels principally designed for the transport of persons and ferry-boats of all kinds (excl. seagoing vessels)"
"890690100","KG","Sea-going vessels, incl. lifeboats (excl. warships, rowing boats and other vessels of heading 8901 to 8905 and vessels for breaking up)"
"900653800","KG","Cameras for roll film of a width of 35 mm (excl. instant print cameras, single lens reflex cameras, specially designed cameras of subheading 9006.10 or 9006.30 and disposable cameras)"
"901190900","KG","Parts and accessories for compound optical microscopes, n.e.s. (excl. of stereoscopic optical microscopes and photomicrographic optical microscopes, fitted with equipment specifically designed for the handling and transport of semiconductor wafers or reti"
"901580990","KG","Non-electronic instruments and appliances used in oceanography (excl. compasses, rangefinders, theodolites, tachymeters ""tacheometers"", levels and photogrammetrical surveying instruments and appliances)"
"901832900","KG","Needles for sutures, used in medical, surgical, dental or veterinary sciences"
"901910900","KG","Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus (excl. electrical vibratory-massage apparatus)"
"902610810","KG","Flow meters for measuring or checking the flow or level of liquids, non-electronic (excl. meters and regulators)"
"903039000","KG","Instruments and apparatus for measuring or checking voltage, current, resistance or electrical power, with recording device (excl. multimeters, and oscilloscopes and oscillographs)"
"903190300","KG","Parts and accessories for electronic instruments, apparatus and machines for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.s."
"910119000","KG","Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating a stop-watch facility, electrically operated, with opto-electronic display and with combined mechanical and opto-electronic display (excl. with backs made o"
"910690000","KG","Time of day recording apparatus and apparatus for measuring, recording or otherwise indicating intervals of time, with clock or watch movement or with synchronous motor (excl. clocks of heading 9101 to 9105, time registers and time recorders)"
"920790900","KG","Accordions and musical instruments without keyboards, the sound of which is produced, or must be amplified, electrically (excl. guitars)"
"940130000","KG","Swivel seats with variable height adjustments (excl. medical, surgical, dental or veterinary, and barbers' chairs)"
"940390100","KG","Parts of furniture, of metal, n.e.s. (excl. of seats and medical, surgical, dental or veterinary furniture)"
"940510500","KG","Chandeliers and other electric ceiling or wall lighting fittings, of glass"
"940550000","KG","Non-electrical lamps and lighting fittings, n.e.s."
"940600800","KG","Prefabricated buildings, whether or not complete or already assembled (excl. mobile homes and those made entirely or mainly of wood, iron or steel)"
"950590000","KG","Festival, carnival or other entertainment articles, incl. conjuring tricks and novelty jokes, n.e.s."
"950670300","KG","Roller skates, incl. skating boots with rollers attached"
"960110000","KG","Worked ivory and articles of ivory, n.e.s."
"960610000","KG","Press-fasteners, snap-fasteners and press studs and parts therefor"
"961210100","KG","Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges, of plastics (excl. woven of textile materials)"
"970110000","KG","Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by hand (excl. technical drawings and the like of heading 4906, and hand-painted or hand-decorated manufactured articles)"
"722220290","KG","Bars and rods of stainless steel, not further worked than cold-formed or cold-finished, of circular cross-section measuring >= 25 mm but < 80 mm and containing by weight < 2,5% nickel"
"722511000","KG","Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented"
"722592000","KG","Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)"
"722820990","KG","Bars and rods of silico-manganese stee, of square or other than rectangular cross-section, only cold-formed or cold-finished, incl. further worked, or hot-rolled and further worked (excl. hot-rolled, hot drawn or extruded, not further worked than clad, se"
"722990500","KG","Wire of steel containing by weight 0,9% to 1,1% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, in coils (excl. rolled bars and rods)"
"730441000","KG","Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)"
"730721000","KG","Flanges of stainless steel (excl. cast products)"
"731100910","KG","Containers of iron or steel, seamless, for compressed or liquefied gas, of a capacity of < 1.000 l (excl. seamless containers and containers specifically constructed or equipped for one or more types of transport)"
"731439000","KG","Grill, netting and fencing, of iron or steel wire, welded at the intersection (excl. products of wire with a maximum cross-sectional dimension of >= 3 mm and having a mesh size of >= 100 cm▓, and grill, netting and fencing plated or coated with zinc)"
"731815100","KG","Screws of iron or steel, turned from bars, rods, profiles, or wire, of solid section, threaded, of a shank thickness of <= 6 mm"
"731822000","KG","Washers of iron or steel (excl. spring washers and other lock washers)"
"732090100","KG","Flat spiral springs, of iron or steel"
"732599100","KG","Articles of malleable cast iron, n.e.s. (excl. grinding balls and similar articles for mills)"
"740729000","KG","Bars, rods and profiles of copper alloys, n.e.s. (excl. such articles of copper-zinc base alloys ""brass"")"
"741521000","KG","Washers, ""incl. spring washers and spring lock washers"", of copper"
"820750900","KG","Tools for drilling, interchangeable, for working materials other than metal, with working parts of materials other than diamond or agglomerated diamond (excl. tools for rock-drilling or earth-boring, wall boring and tools for tapping)"
"821110000","KG","Sets of assorted articles of knives of heading 8211; sets in which there is a higher number of knives of heading 8211 than of any other article"
"830629000","KG","Statuettes and other ornaments, of base metal, not plated with precious metal (excl. works of art, collectors' pieces and antiques)"
"840290000","KG","Parts of vapour generating boilers and superheated water boilers, n.e.s."
"840710000","KG","Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft"
"840820550","KG","Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" for vehicles of chapter 87, of a power > 50 kW but <= 100 kW (excl. engines of subheading 8408.20.10 and engines for wheeled agricultural or forestry tractors)"
"840910000","KG","Parts suitable for use solely or principally with internal combustion piston engine for aircraft, n.e.s."
"841239000","KG","Pneumatic power engines and motors (excl. linear acting)"
"841370890","KG","Multi-stage centrifugal pumps, power-driven, with a discharge outlet diameter > 15 mm (excl. pumps of subheading 8413.11 and 8413.19; fuel, lubricating or cooling medium pumps for internal combustion piston engine; concrete pumps; submersible pumps; impel"
"841480280","KG","Reciprocating displacement compressors, having a gauge pressure capacity <= 15 bar, giving a flow/h > 60 m│ (excl. compressors for refrigerating equipment and air compressors mounted on a wheeled chassis for towing)"
"841581000","KG","Air conditioning machines incorporating a refrigerating unit and a valve for reversal of the cooling-heat cycle ""reversible heat pumps"" (excl. of a kind used for persons in motor vehicles and self-contained or ""split-system"" window or wall air conditionin"
"841861000","KG","Heat pumps (excl. air conditioning machines of heading 8415)"
"841950000","KG","Heat-exchange units (excl. instantaneous heaters, storage water heaters, boilers and equipment without a separating wall)"
"281810990","KG","Artificial corundum, whether or not chemically defined, with >= 50á% of the total weight having a particle size > 10ámm (excl. with an aluminium oxide content >= 98,5% by weight ""high purity"")"
"292690950","KG","Nitrile-function compounds (excl. acrylonitrile, 1-cyanoguanidine ""dicyandiamide"", fenproporex ""INN"" and its salts, methadone ""INN""-intermediate ""4-cyano-2-dimethylamino-4,4-diphenylbutane"" and isophthalonitrile)"
"293339990","KG","Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, whether or not hydrogenated, in the structure (excl. pyridine, piperidine, alfentanil ""INN"", anileridine ""INN"", bezitramide ""INN"", bromazepam ""INN"", difenoxin """
"293911000","KG","Concentrates of poppy straw; buprenorphine ""INN"", codeine, dihydrocodeine ""INN"", ethylmorphine, etorphine ""INN"", heroin, hydrocodone ""INN"", hydromorphone ""INN"", morphine, nicomorphine ""INN"", oxycodone ""INN"", oxymorphone ""INN"", pholcodine ""INN"", thebacon """
"300210980","KG","Blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes (excl. antisera, haemoglobin, blood globulins and serum globulins)"
"310210100","KG","Urea, whether or not in aqueous solution, containing > 45% nitrogen in relation to the weight of the dry product (excl. that in pellet or similar forms, or in packages with a gross weight of <= 10 kg)"
"320300100","KG","Dyes of vegetable origin, incl. dye extracts, whether or not chemically defined; preparations based on dyes of vegetable origin of a kind used to dye fabrics or produce colorant preparations (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and "
"320649700","KG","Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring matter of a kind used for colouring any material or produce colorant preparations, n.e.s. (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3"
"320890110","KG","Polyurethane of 2,2'-""tert-butylimino""diethanol and 4,4'-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide, containing by weight >= 48%, but < 50% of polymer"
"340420000","KG","Poly""oxyethylene"" [polyethylene glycol] waxes"
"350110500","KG","Casein for industrial uses (excl. the manufacture of foodstuffs or fodder and artificial textile fibres)"
"370130000","KG","Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm"
"370255000","KG","Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width > 16 mm but <= 35 mm, length > 30 m (excl. of paper, paperboard and textiles; for slides)"
"380590100","KG","Pine oil containing alpha-terpineol as the main constituent"
"380891900","KG","Insecticides put up in forms or packings for retail sale or as preparations or articles (excl. such products based on pyrethroids, chlorinated hydrocarbons, carbamates or organophosphorus compounds and goods of subheading 3808.50)"
"381800900","KG","Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, cylinders, rods or similar forms, or cut into discs, wafers or similar forms, whether or not polished or with a uniform epitaxial coating (excl. elements that have"
"382476000","KG","Mixtures containing 1,1,1-trichloroethane ""methyl chloroform"""
"382490400","KG","Inorganic composite solvents and thinners for varnishes and similar products"
"390290200","KG","Polybut-1-ene, a copolymer of but-1-ene with ethylene containing by weight <= 10% of ethylene, or a blend of polybut-1-ene with polyethylene and/or polypropylene containing by weight <= 10% of polyethylene and/or <= 25% of polypropylene, in blocks of irre"
"390791900","KG","Unsaturated polyesters, in primary forms (excl. liquid, and polycarbonates, alkyd resins, poly""ethylene terephthalate"" and poly""lactic acid"")"
"391722100","KG","Rigid tubes, pipes and hoses, of polymers of propylene, seamless and of a length > the maximum cross-sectional dimension, whether or not surface-worked, but not otherwise worked"
"392010400","KG","Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, laminated, supported or similarly combined with other materials, unworked or not further worked than surface-worked or only cut to square or rectangular shapes, of"
"392079100","KG","Plates, sheets, film, foil and strip of vulcanised fibre, not reinforced, laminated, supported or similarly combined with other materials, without backing, unworked or merely surface-worked or merely cut into squares or rectangles"
"392112000","KG","Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, floor, wall and ceiling coverings of heading 3918 and sterile surgical "
"392590100","KG","Fittings and mountings intended for permanent installation in or on doors, windows, staircases, walls or other parts of buildings, of plastics"
"400299900","KG","Synthetic rubber and factice derived from oils, in primary forms or plates, sheets or strip (excl. latex; styrene-butadiene ""SBR"", carboxylated styrene-butadiene ""XSBR"", butadiene ""BR"" butyl ""IIR"", halo-isobutene-isoprene ""CIIR"" or ""BIIR"", chloroprene -ch"
"401290200","KG","Solid or cushion tyres, of rubber"
"401519000","KG","Gloves, mittens and mitts, of vulcanised rubber (excl. surgical gloves)"
"410150300","KG","Whole raw hides and skins of bovine ""incl. buffalo"" or equine animals, whether or not dehaired or split, of a weight per skin > 16 kg, wet-salted"
"410640900","KG","Tanned or crust hides and skins of reptiles, whether or not split (excl. further prepared and vegetable pre-tanned only)"
"420222900","KG","Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface of textile materials"
"430211000","KG","Tanned or dressed furskins of mink, whole, with or without heads, tails or paws, not assembled"
"430230250","KG","Tanned or dressed whole furskins of rabbit or hare, and pieces or cuttings thereof, assembled, without the addition of other materials (excl. 'dropped' furskins, clothing, clothing accessories and other furskin articles)"
"440410000","KG","Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking sticks, umbrellas, tool handles or the like; chipwo"
"440729450","KG","Keruing, ramin, kapur, teak, jongkong, merbau, jelutong, kempas, okoumÚ, obeche, sipo, acajou d'Afrique, makorÚ, tiama, mansonia, ilomba, dibÚtou, limba, azobÚ, palissandre de Rio, palissandre de Para and palissandre de rose, sawn or chipped lengthwise, s"
"440791390","KG","Oak ""Quercus spp."", sawn or chipped lengthwise, sliced or peeled, of a thickness of > 6 mm, planed (excl. end-jointed and blocks, strips and friezes for parquet or wood block flooring)"
"441210000","KG","Plywood, veneered panel and similar laminated wood, of bamboo, not containing particle board and without blockboard, laminboard or battenboard (excl. sheets of compressed wood, cellular wood panels, parquet panels or sheets, inlaid wood and sheets identif"
"441810100","KG","Windows and French windows and their frames, of okoumÚ, obeche, sapelli, sipo, acajou d'Afrique, makorÚ, iroko, tiama, mansonia, ilomba, dibÚtou, limba, azobÚ, dark red meranti, light red meranti, meranti bakau, white lauan, white meranti, white seraya, y"
"460129100","KG","Mats, matting and screens, of vegetable plaiting materials, flat-woven or bound together in parallel, of plaits or similar products of plaiting materials worked lengthwise (excl. of bamboo and rattan)"
"470319000","KG","Unbleached non-coniferous chemical wood pulp, soda or sulphate (excl. dissolving grades)"
"480255150","KG","Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punchcards and punch-tape paper, in rolls of any size, not containing fibres obtained by a mechanical or chemi-mechanical process or of which"
"480442000","KG","Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, weighing > 150 g to < 225 g/m▓, bleached uniformly in the mass, containing > 95% c"
"481320000","KG","Cigarette paper in rolls of a width of <= 5 cm"
"481620000","KG","Self-copy paper, in rolls of a width of <= 36 cm or in rectangular or square sheets with no side measuring > 36 cm in the unfolded state, or cut into shapes other than rectangles or squares, whether or not in boxes (excl. carbon or similar copying papers)"
"490191000","KG","Dictionaries and encyclopaedias, and serial instalments thereof"
"491000000","KG","Calendars of any kinds, printed, incl. calendars blocks"
"500600900","KG","Yarn spun from noil or other silk waste, put up for retail sale; silkworm gut"
"520523000","KG","Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear density of 192,31 decitex to < 232,56 decitex ""> MN 43 to MN 52"" (excl. sewing thread and yarn put up for retail sale)"
"520839000","KG","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m▓, dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
"521011000","KG","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing <= 200 g/m▓, unbleached"
"521132000","KG","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m▓, in three-thread or four-thread twill, incl. cross twill, dyed"
"521223900","KG","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m▓, dyed"
"531090000","KG","Woven fabrics of jute or of other textile bast fibres of heading 5303, bleached, dyed, made of yarn of different colours, or printed"
"540781000","KG","Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. monofilament of >= 67 decitex and a maximum diameter of <= 1 mm, mixed principally or solely with cotton, unbleached or bleached"
"540832000","KG","Woven fabrics of yarn containing predominantly, but < 85% artificial filament by weight, incl. monofilament of >= 67 decitex and a maximum diameter of <= 1 mm, dyed (excl. those of high-tenacity viscose yarn)"
"551090000","KG","Yarn containing predominantly, but < 85% artificial staple fibres by weight, other than that mixed principally or solely with cotton, wool or fine animal hair (excl. sewing thread and yarn put up for retail sale)"
"551313000","KG","Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing <= 170 g/m▓, unbleached or bleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain w"
"551443000","KG","Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed principally or solely with cotton and weighing > 170 g/m▓, printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
"551691000","KG","Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other than those mixed principally or solely with cotton, wool, fine animal hair or man-made filament, unbleached or bleached"
"560121900","KG","Wadding of non-absorbent cotton and articles thereof (excl. sanitary towels and tampons, napkins and napkin liners for babies and similar sanitary articles, wadding and articles thereof, impregnated or covered with medicated substances or put up for retai"
"560819110","KG","Made-up knotted nets of twine, cordage, ropes or cables, of nylon or other polyamides (excl. fishing nets, hairnets, nets for sporting purposes, incl. landing nets, butterfly nets and the like)"
"590290100","KG","Tyre cord fabric of high-tenacity viscose rayon yarn, impregnated with rubber"
"600340000","KG","Knitted or crocheted fabrics of artificial fibres, of a width of <= 30 cm (excl. those containing by weight >= 5% of elastomeric yarn or  rubber thread, and pile fabrics, incl. ""long pile"", looped pile fabrics, labels, badges and similar articles, knitted"
"600532100","KG","Dyed warp knit fabrics of synthetic fibres ""incl. those made on galloon knitting machines"", of a width of > 30 cm, for curtains, incl. net curtain fabric  (excl. those containing by weight >= 5% of elastomeric yarn or  rubber thread, and pile fabrics, inc"
"600541000","KG","Unbleached or bleached warp knit fabrics of artificial fibres ""incl. those made on galloon knitting machines"", of a width of > 30 cm  (excl. those containing by weight >= 5% of elastomeric yarn or  rubber thread, and pile fabrics, incl. ""long pile"", loope"
"610220900","KG","Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, of cotton, knitted or crocheted (excl. suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls)"
"610453000","KG","Women's or girls' skirts and divided skirts of synthetic fibres, knitted or crocheted (excl. petticoats)"
"611212000","KG","Track-suits of synthetic fibres, knitted or crocheted"
"611241900","KG","Women's or girls' swimwear of synthetic fibres, knitted or crocheted (excl. containing >= 5% by weight of rubber thread)"
"620199000","KG","Men's or boys' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles of textile materials (excl. of wool, fine animal hair, cotton or man-made fibres, knitted or crocheted, suits, ensembles, jackets, blazers and trousers)"
"620291000","KG","Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, of wool or fine animal hair (excl. knitted or crocheted, suits, ensembles, jackets, blazers and trousers)"
"620343390","KG","Men's or boys' bib and brace overalls of synthetic fibres (excl. knitted or crocheted, and industrial and occupational)"
"620432900","KG","Women's or girls' jackets and blazers of cotton (excl. knitted or crocheted, industrial and occupational, wind-jackets and similar articles)"
"620462110","KG","Women's or girls' trousers and breeches of cotton, industrial and occupational (excl. knitted or crocheted and bib and brace overalls)"
"620930000","KG","Babies' garments and clothing accessories of synthetic fibres (excl. knitted or crocheted and hats, napkins and napkin liners [see 9619])"
"621139000","KG","Men's or boys' tracksuits and other garments, n.e.s. of textile materials (excl. of cotton or man-made fibres, knitted or crocheted)"
"630140900","KG","Blankets and travelling rugs of synthetic fibres (excl. knitted or crocheted, electric, table covers, bedspreads and articles of bedding and similar furnishing of heading 9404)"
"630293900","KG","Toilet linen and kitchen linen of man-made fibres (excl. nonwovens, floorcloths, polishing cloths, dishcloths and dusters)"
"630532190","KG","Flexible intermediate bulk containers, for the packing of goods, of polyethylene or polypropylene strip or the like (excl. knitted or crocheted)"
"640590100","KG","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of materials other than leather, composition leather or textile materials (excl. orthopaedic footwear and toy footwear)"
"670420000","KG","Wigs, false beards, eyebrows and eyelashes, switches and the like, of human hair, and articles of human hair, n.e.s."
"681320000","KG","Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers and pads, for clutches and the like, not mounted, containing asbestos, whether or not combined with textile or other materials"
"690890510","KG","Glazed ceramic flags and paving, hearth or wall tiles with a face of <= 90 cm▓ (excl. of common pottery, double tiles of the 'Spaltplatten' type, tiles specially adapted as table mats, ornamental articles and tiles specifically manufactured for stoves)"
"700510050","KG","Float glass and surface ground or polished glass, in sheets, having a non-reflecting layer, but not otherwise worked (excl. wired glass)"
"701090450","KG","Bottles of colourless glass, of a kind used for the commercial conveyance or packing of foodstuffs and beverages, of a nominal capacity of >= 0,15 l to 0,33 l"
"701322900","KG","Drinking glasses of lead crystal, stemware, gathered mechanically"
"701391900","KG","Glassware of lead crystal, of a kind used for toilet, office, indoor decoration or similar purposes, gathered mechanically (excl. glassware of a kind used for table or kitchen purposes, articles of heading 7018, mirrors, leaded lights and the like, lighti"
"720441100","KG","Turnings, shavings, chips, milling waste, sawdust and filings, of iron or steel, whether or not in bundles (excl. such items of cast iron, alloy steel or tinned iron or steel)"
"720851980","KG","Flat-rolled products of iron or non-alloy steel, of a width of < 2.050 mm but >= 600 mm, not in coils, simply hot-rolled, not clad, plated or coated, of a thickness of > 10 mm but <= 15 mm, without patterns in relief"
"721430000","KG","Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling)"
"750300900","KG","Waste and scrap, of nickel alloys (excl. ingots or other similar unwrought shapes, of remelted nickel alloys waste and scrap, ashes and residues containing nickel alloys)"
"761520000","KG","Sanitary ware and parts thereof, of aluminium (excl. cans, boxes and similar containers of heading 7612, and fittings)"
"810194000","KG","Unwrought tungsten, incl. bars and rods of tungsten obtained simply by sintering"
"810420000","KG","Magnesium waste and scrap (excl. ash and residues containing magnesium, and raspings, turnings and granules graded according to size)"
"810890600","KG","Tubes and pipes, of titanium"
"811100110","KG","Unwrought manganese; manganese powders"
"811229000","KG","Articles of chromium, n.e.s."
"811292810","KG","Unwrought indium; indium powders"
"820320000","KG","Pliers, incl. cutting pliers, pincers and tweezers for non-medical use and similar hand tools, of base metal"
"820720900","KG","Interchangeable dies for drawing or extruding metal, with working parts of materials other than diamond or agglomerated diamond"
